"","tax_yr","zip3","count","b_zip3","count_selfemp_only","b_zip3_selfemp_only"
"10091",1999,777,12501,0.0119990400767939,11296,0.124378109452736
"10092",2000,777,12318,0.0138009417113168,11128,0.134813639968279
"10093",2001,777,12398,0.0131472818196483,11188,0.126160990712074
"10094",2002,777,12999,0.0190014616508962,11526,0.161649214659686
"10095",2003,777,13233,0.0203279679588907,11497,0.153189066059226
"10096",2004,777,13393,0.0235944149929067,11496,0.165358451072737
"10097",2005,777,13223,0.0287378053391817,11142,0.17848755284171
"10098",2006,777,13440,0.0305059523809524,11084,0.175288584865327
"10099",2007,777,13371,0.0292423902475507,11040,0.161237113402062
"10100",2008,777,12769,0.0245124911895998,10415,0.131512605042017
"10101",2009,777,12999,0.0301561658589122,10396,0.15543219666931
"10102",1996,778,17586,0.00756283407255772,19769,0.0614035087719298
"10103",1997,778,17604,0.00744149057032493,20021,0.0606762389995368
"10104",1998,778,17679,0.0100684427852254,20641,0.0860318994683422
"10105",1999,778,18053,0.00891818534315626,15936,0.072686230248307
"10106",2000,778,17908,0.0120616484252848,15739,0.0946538124452235
"10107",2001,778,17794,0.0121389232325503,15434,0.0923076923076923
"10108",2002,778,19146,0.0143633134858456,16283,0.101289134438306
"10109",2003,778,19627,0.0186477811178479,16516,0.121192052980132
"10110",2004,778,19955,0.0202956652468053,16638,0.124692118226601
"10111",2005,778,20398,0.0205902539464653,16915,0.12255617157864
"10112",2006,778,20424,0.0235996866431649,16749,0.133555001385425
"10113",2007,778,20727,0.027693346842283,16766,0.148550724637681
"10114",2008,778,20653,0.0211591536338546,16711,0.114158829676071
"10115",2009,778,21212,0.0235244201395437,17290,0.131801373481247
"10116",1996,779,13541,0.00657263126800089,15537,0.0502824858757062
"10117",1997,779,13507,0.00710742577922559,15765,0.0536612632755729
"10118",1998,779,13270,0.00685757347400151,15958,0.0522688110281447
"10119",1999,779,13421,0.00923925191863498,11698,0.0704145371947757
"10120",2000,779,13120,0.00899390243902439,11632,0.0692488262910798
"10121",2001,779,13232,0.0097490931076179,11448,0.0733371233655486
"10122",2002,779,14249,0.0108077759842796,12207,0.0751953125
"10123",2003,779,14470,0.0131306150656531,12234,0.0870760769935839
"10124",2004,779,14566,0.016064808458053,12238,0.104185218165628
"10125",2005,779,14598,0.0158240854911632,12319,0.100873362445415
"10126",2006,779,14309,0.0171919770773639,12048,0.107658643326039
"10127",2007,779,14321,0.0178758466587529,12050,0.112775330396476
"10128",2008,779,14262,0.0158463048660777,11989,0.0986468790920995
"10129",2009,779,14938,0.0173383317713215,12591,0.113001745200698
"10130",1996,780,47652,0.0175438596491228,47531,0.104083665338645
"10131",1997,780,48861,0.0225333087738687,48696,0.125198999317717
"10132",1998,780,50023,0.0302260959958419,50282,0.158523799538687
"10133",1999,780,51324,0.0309017223910841,41196,0.157216494845361
"10134",2000,780,52002,0.0323064497519326,41276,0.158730158730159
"10135",2001,780,51844,0.0308618162178844,40723,0.146869836607307
"10136",2002,780,55087,0.0343275182892515,42800,0.158800806180719
"10137",2003,780,56120,0.0362972202423378,42837,0.157528420075787
"10138",2004,780,57437,0.0389296098333827,43148,0.159885591705399
"10139",2005,780,58999,0.0412379870845269,43439,0.160923341490839
"10140",2006,780,59392,0.043877963362069,42899,0.167276461903845
"10141",2007,780,61104,0.0475746268656716,44236,0.177776418786693
"10142",2008,780,62196,0.0413209852723648,44607,0.150591819992968
"10143",2009,780,62655,0.0492857712872077,44920,0.178507428175039
"10144",1996,781,20265,0.0077473476437207,24442,0.0521075340192499
"10145",1997,781,20583,0.00777340523733178,25378,0.0529450694904037
"10146",1998,781,20892,0.00890292935094773,26636,0.06160980457105
"10147",1999,781,21186,0.0100066081374493,18200,0.0686973428386261
"10148",2000,781,21465,0.0104355928255299,18724,0.0723047127178825
"10149",2001,781,21605,0.0112473964360102,18533,0.0762233375156838
"10150",2002,781,23620,0.013082133784928,19742,0.0806367432150313
"10151",2003,781,24148,0.0148252443266523,19991,0.0850760456273764
"10152",2004,781,24853,0.0160543998712429,20306,0.089181940098346
"10153",2005,781,25941,0.0166917235264639,21034,0.088169415597638
"10154",2006,781,26273,0.0178129638792677,21368,0.0927283534773133
"10155",2007,781,27511,0.0185380393297227,22129,0.0956130483689539
"10156",2008,781,27910,0.0155141526334647,22505,0.0810254491017964
"10157",2009,781,29261,0.0156864085301254,24056,0.0895959398789772
"10158",1996,782,124661,0.00885601751951292,139025,0.0707828428543951
"10159",1997,782,126545,0.0098304950808013,141545,0.0777937589894316
"10160",1998,782,127557,0.0118143261443904,146261,0.0905050747702841
"10161",1999,782,128395,0.0134273141477472,111101,0.100162677201952
"10162",2000,782,128340,0.0141732896992364,111585,0.104576290674945
"10163",2001,782,129638,0.0161680988599022,111002,0.115673289183223
"10164",2002,782,138510,0.0191971698794311,116562,0.125941363141193
"10165",2003,782,142317,0.022871477054744,118136,0.138965973615677
"10166",2004,782,145717,0.0248014987956107,118801,0.138499271863264
"10167",2005,782,149576,0.0264547788415254,120540,0.14104940471947
"10168",2006,782,150781,0.0297451270385526,119735,0.148909326338856
"10169",2007,782,154394,0.0314455224943975,121059,0.151747202600488
"10170",2008,782,155843,0.026083943455914,121902,0.125645226099589
"10171",2009,782,158918,0.0319598786795706,125759,0.157880012433945
"10172",1996,783,25589,0.0134041971159483,27606,0.0958368259290305
"10173",1997,783,25890,0.0153341058323677,28257,0.108381108381108
"10174",1998,783,25911,0.012620122727799,28952,0.0904814609850581
"10175",1999,783,26400,0.0145454545454545,22611,0.102182011708356
"10176",2000,783,25647,0.0146215931687917,22155,0.101929872247893
"10177",2001,783,25223,0.0162153589977402,21505,0.109153989858554
"10178",2002,783,26357,0.0177941343855522,22030,0.111986628462273
"10179",2003,783,26505,0.0196566685531032,21873,0.117633777376383
"10180",2004,783,26765,0.0218942648981879,22250,0.127225358228398
"10181",2005,783,26444,0.0267357434578732,21505,0.150874946649595
"10182",2006,783,25554,0.0284886906159505,20661,0.158260869565217
"10183",2007,783,25450,0.031041257367387,20553,0.16461762867264
"10184",2008,783,24841,0.026730002817922,19961,0.140202702702703
"10185",2009,783,25971,0.0321127411343421,20889,0.172136222910217
"10186",1996,784,27695,0.00960462177288319,31177,0.0792610250297974
"10187",1997,784,28276,0.0119182345451973,31719,0.0982220926843486
"10188",1998,784,28235,0.0125730476359129,32205,0.102482678983834
"10189",1999,784,28654,0.0142388497242968,25059,0.113680691000279
"10190",2000,784,28039,0.0160134098933628,24555,0.123351648351648
"10191",2001,784,27921,0.0183732674331149,24431,0.136872998932764
"10192",2002,784,29047,0.0216889868144731,24591,0.144994246260069
"10193",2003,784,29355,0.0232669051268949,24452,0.143397018685702
"10194",2004,784,29596,0.0252061089336397,24544,0.151749389747762
"10195",2005,784,29945,0.0265152780096844,24450,0.153846153846154
"10196",2006,784,29458,0.0281417611514699,23909,0.159025513140226
"10197",2007,784,29558,0.0323431896610055,23817,0.174103077763613
"10198",2008,784,29275,0.0250042698548249,23667,0.136567164179104
"10199",2009,784,29868,0.030802196330521,24376,0.176923076923077
"10200",1996,785,138449,0.0259301258947338,127126,0.14589937413639
"10201",1997,785,142963,0.0338339290585676,129914,0.175380710659898
"10202",1998,785,147751,0.0413939668767047,133923,0.201681780708986
"10203",1999,785,152883,0.0433534140486516,117703,0.204372359779224
"10204",2000,785,155363,0.044566595650187,118506,0.203521354457541
"10205",2001,785,161117,0.0549848867593116,119420,0.232917050085448
"10206",2002,785,170457,0.0631537572525622,123224,0.247243913642627
"10207",2003,785,176912,0.0721488649724157,124190,0.260596161698653
"10208",2004,785,182799,0.0743767744900136,124693,0.251647293995706
"10209",2005,785,188222,0.0771216967198308,126225,0.252005138710461
"10210",2006,785,187398,0.077754298338296,123280,0.245882551468107
"10211",2007,785,189151,0.0797669586732293,125170,0.252354111960394
"10212",2008,785,190062,0.0661047447674969,124846,0.205768191421412
"10213",2009,785,191765,0.0722707480509999,126773,0.224783067066742
"10214",1996,786,28416,0.00922015765765766,34689,0.0479326747164288
"10215",1997,786,28833,0.0104741095272778,36122,0.0536698062910965
"10216",1998,786,29815,0.00992788864665437,39779,0.0524729657862081
"10217",1999,786,30438,0.0110388330376503,24647,0.057941024314537
"10218",2000,786,31891,0.0113198080963281,26147,0.0593262119967132
"10219",2001,786,32878,0.0131090698947625,26580,0.066491823511262
"10220",2002,786,37333,0.014491200814293,29252,0.0664700823196953
"10221",2003,786,39977,0.0175350826725367,30853,0.0768219178082192
"10222",2004,786,41808,0.0167432070417145,32303,0.0734830988872559
"10223",2005,786,44542,0.0173768577971353,34108,0.0740315638450502
"10224",2006,786,46018,0.0177756530053457,35194,0.0757126990003702
"10225",2007,786,48620,0.018510900863842,36996,0.0774526678141136
"10226",2008,786,50495,0.0153876621447668,38711,0.0662234722577346
"10227",2009,786,53402,0.0190067787723306,41787,0.0887082677853522
"10228",1996,787,41280,0.00671027131782946,49732,0.048605018424285
"10229",1997,787,41508,0.00715524718126626,50395,0.0525106082036775
"10230",1998,787,40995,0.00780582997926576,52546,0.058055152394775
"10231",1999,787,40633,0.00831836192257525,35278,0.0633433283358321
"10232",2000,787,39062,0.00826890584199478,33713,0.0588556851311953
"10233",2001,787,39293,0.00923828671773598,33622,0.0612451493166863
"10234",2002,787,42591,0.0124439435561504,35840,0.0749964624310174
"10235",2003,787,44064,0.0139796659404503,36357,0.0775720941946858
"10236",2004,787,45452,0.015862888321746,37362,0.0864612063796618
"10237",2005,787,46574,0.0162107613690042,37899,0.0849077822762033
"10238",2006,787,46689,0.0171346569855855,37734,0.0881154312148915
"10239",2007,787,47590,0.0188695104013448,38190,0.0948858833474218
